 table_schema |           table_name            |     column_name     | foreign_table_schema |   foreign_table_name    | foreign_column_name 
--------------+---------------------------------+---------------------+----------------------+-------------------------+---------------------
 public       | auth_permission                 | content_type_id     | public               | django_content_type     | id
 public       | auth_group_permissions          | group_id            | public               | auth_group              | id
 public       | auth_group_permissions          | permission_id       | public               | auth_permission         | id
 public       | accounts_user_groups            | group_id            | public               | auth_group              | id
 public       | accounts_user_user_permissions  | permission_id       | public               | auth_permission         | id
 public       | accounts_parent                 | student_id          | public               | accounts_student        | id
 public       | accounts_user_groups            | user_id             | public               | accounts_user           | id
 public       | accounts_user_user_permissions  | user_id             | public               | accounts_user           | id
 public       | accounts_parent                 | user_id             | public               | accounts_user           | id
 public       | accounts_departmenthead         | user_id             | public               | accounts_user           | id
 public       | accounts_student                | student_id          | public               | accounts_user           | id
 public       | course_courseallocation         | lecturer_id         | public               | accounts_user           | id
 public       | django_admin_log                | content_type_id     | public               | django_content_type     | id
 public       | django_admin_log                | user_id             | public               | accounts_user           | id
 public       | core_semester                   | session_id          | public               | core_session            | id
 public       | course_courseallocation         | session_id          | public               | core_session            | id
 public       | course_upload                   | course_id           | public               | course_course           | id
 public       | course_courseallocation_courses | course_id           | public               | course_course           | id
 public       | course_uploadvideo              | course_id           | public               | course_course           | id
 public       | course_courseallocation_courses | courseallocation_id | public               | course_courseallocation | id
 public       | accounts_departmenthead         | department_id       | public               | course_program          | id
 public       | accounts_student                | program_id          | public               | course_program          | id
 public       | course_course                   | program_id          | public               | course_program          | id
 public       | course_courseoffer              | dep_head_id         | public               | accounts_departmenthead | id
 public       | dashboard_userdashboardmodule   | user_id             | public               | accounts_user           | id
 public       | jet_bookmark                    | user_id             | public               | accounts_user           | id
 public       | jet_pinnedapplication           | user_id             | public               | accounts_user           | id
 public       | payments_invoice                | user_id             | public               | accounts_user           | id
 public       | quiz_quiz                       | course_id           | public               | course_course           | id
 public       | quiz_sitting                    | course_id           | public               | course_course           | id
 public       | quiz_sitting                    | user_id             | public               | accounts_user           | id
 public       | quiz_progress                   | user_id             | public               | accounts_user           | id
 public       | quiz_choice                     | question_id         | public               | quiz_mcquestion         | question_ptr_id
 public       | quiz_question_quiz              | question_id         | public               | quiz_question           | id
 public       | quiz_mcquestion                 | question_ptr_id     | public               | quiz_question           | id
 public       | quiz_essayquestion              | question_ptr_id     | public               | quiz_question           | id
 public       | quiz_sitting                    | quiz_id             | public               | quiz_quiz               | id
 public       | quiz_question_quiz              | quiz_id             | public               | quiz_quiz               | id
 public       | result_takencourse              | course_id           | public               | course_course           | id
 public       | result_takencourse              | student_id          | public               | accounts_student        | id
 public       | result_result                   | student_id          | public               | accounts_student        | id

